user_id,r_days,f,r_score,f_score,segment
100,5,8,1,3,at_risk
10008,1,3,3,3,high_value_active
10009,0,10,3,3,high_value_active
10020,6,1,1,2,lost
10021,2,1,2,2,potential
10024,1,6,3,3,high_value_active
10027,2,3,2,3,high_value_active
10034,0,4,3,3,high_value_active
10035,6,4,1,3,at_risk
100002,3,1,2,2,lost
100009,1,2,3,2,high_value_active
100030,7,4,1,3,at_risk
100059,6,1,1,2,lost
100068,3,4,2,3,at_risk
100075,3,2,2,2,at_risk
100088,1,2,3,2,high_value_active
100091,0,3,3,3,high_value_active
100095,4,1,1,2,lost
100101,0,28,3,3,high_value_active
100103,1,1,3,2,potential
100105,0,3,3,3,high_value_active
100107,0,3,3,3,high_value_active
100109,4,1,1,2,lost
100113,4,3,1,3,at_risk
100116,0,13,3,3,high_value_active
100128,1,2,3,2,high_value_active
100134,5,14,1,3,at_risk
100141,1,2,3,2,high_value_active
100164,4,1,1,2,lost
100173,0,8,3,3,high_value_active
100177,5,3,1,3,at_risk
100184,1,1,3,2,potential
100186,1,5,3,3,high_value_active
100191,2,5,2,3,high_value_active
100197,0,2,3,2,high_value_active
100204,5,5,1,3,at_risk
100215,1,3,3,3,high_value_active
100225,0,2,3,2,high_value_active
100227,0,1,3,2,potential
100234,5,6,1,3,at_risk
100242,3,5,2,3,at_risk
100243,0,2,3,2,high_value_active
100249,5,2,1,2,at_risk
100257,0,6,3,3,high_value_active
100259,3,1,2,2,lost
100261,0,2,3,2,high_value_active
100264,1,2,3,2,high_value_active
100277,6,1,1,2,lost
100279,0,3,3,3,high_value_active
100284,5,1,1,2,lost
100285,1,1,3,2,potential
100292,6,2,1,2,at_risk
100294,0,5,3,3,high_value_active
100307,3,2,2,2,at_risk
100308,5,1,1,2,lost
100313,1,1,3,2,potential
100318,0,2,3,2,high_value_active
100324,5,2,1,2,at_risk
100339,7,1,1,2,lost
100340,2,3,2,3,high_value_active
100346,3,1,2,2,lost
100356,0,6,3,3,high_value_active
100357,1,2,3,2,high_value_active
100363,5,2,1,2,at_risk
100370,0,2,3,2,high_value_active
100377,0,3,3,3,high_value_active
100388,0,3,3,3,high_value_active
100395,1,2,3,2,high_value_active
100401,7,2,1,2,at_risk
100428,5,1,1,2,lost
1000001,0,1,3,2,potential
1000011,8,2,1,2,at_risk
1000027,0,2,3,2,high_value_active
1000028,0,4,3,3,high_value_active
1000037,2,5,2,3,high_value_active
1000054,1,4,3,3,high_value_active
1000060,2,1,2,2,potential
1000061,0,3,3,3,high_value_active
1000070,5,1,1,2,lost
1000084,0,7,3,3,high_value_active
1000085,2,12,2,3,high_value_active
1000103,0,4,3,3,high_value_active
1000115,0,7,3,3,high_value_active
1000134,1,3,3,3,high_value_active
1000135,5,1,1,2,lost
1000139,0,2,3,2,high_value_active
1000151,0,3,3,3,high_value_active
1000154,7,1,1,2,lost
1000165,1,2,3,2,high_value_active
1000169,3,1,2,2,lost
1000186,3,1,2,2,lost
1000191,1,5,3,3,high_value_active
1000194,4,1,1,2,lost
1000204,7,1,1,2,lost
1000209,5,3,1,3,at_risk
1000222,4,6,1,3,at_risk
1000228,3,5,2,3,at_risk
1000236,3,1,2,2,lost
1000251,5,3,1,3,at_risk
1000263,1,4,3,3,high_value_active
1000269,0,3,3,3,high_value_active
1000274,6,2,1,2,at_risk
1000282,6,1,1,2,lost
1000283,6,1,1,2,lost
1000291,3,2,2,2,at_risk
1000296,2,1,2,2,potential
1000313,0,5,3,3,high_value_active
1000317,7,2,1,2,at_risk
1000319,0,1,3,2,potential
1000328,0,1,3,2,potential
1000332,0,1,3,2,potential
1000335,0,8,3,3,high_value_active
1000349,1,8,3,3,high_value_active
1000364,5,1,1,2,lost
1000374,8,3,1,3,at_risk
1000398,0,4,3,3,high_value_active
1000408,6,3,1,3,at_risk
1000417,0,11,3,3,high_value_active
1000420,5,1,1,2,lost
1000429,0,3,3,3,high_value_active
1000436,0,7,3,3,high_value_active
1000438,0,8,3,3,high_value_active
1000455,5,1,1,2,lost
1000485,3,1,2,2,lost
1000488,0,19,3,3,high_value_active
1000490,3,2,2,2,at_risk
1000497,3,1,2,2,lost
1000504,2,1,2,2,potential
1000505,2,6,2,3,high_value_active
1000511,0,3,3,3,high_value_active
1000519,6,2,1,2,at_risk
1000520,1,3,3,3,high_value_active
1000538,0,2,3,2,high_value_active
1000539,2,1,2,2,potential
1000541,1,1,3,2,potential
1000565,1,6,3,3,high_value_active
1000573,4,2,1,2,at_risk
